,Unnamed: 0,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
26,26,alexavi01,1079641.6666666667,alexavi01,0.9,51.8,28.6,63.4,286,13.7,0.20652860872976914,0.6532610224969883,-0.4456470964622449,52.2,1991,6.75,Center,Right,265.0
27,27,alforst01,166666.66666666666,alforst01,1.0,45.9,32.4,87.0,169,14.4,-0.6807751045350334,-1.135628498964609,-0.620670950335904,48.7,1987,6.166666666666667,Point Guard,Right,183.0
28,28,allenja01,1713720.0,allenja01,1.0,59.0,18.3,73.2,152,18.1,0.34455363079318274,1.6623781884496842,-0.34875889163932644,59.5,2017,6.916666666666667,Center,Right,237.0
29,29,allenje01,248125.0,allenje01,1.7,35.0,31.7,63.0,117,8.5,-0.9765430089566345,-1.0438905747870912,-0.7144337291967929,41.1,1995,6.333333333333333,Shooting Guard,Right,184.0
30,30,allenla01,2530294.5,allenla01,1.0,47.1,13.3,68.2,388,12.5,-0.6019036633559399,0.6532610224969883,-0.28937579836076355,47.2,2011,6.75,Power Forward and Center,Right,260.0
31,31,allenra02,10242022.777777778,allenra02,3.4,45.2,40.0,89.4,1300,18.6,2.1783146382071075,0.33217828787567577,3.814308489784137,53.0,1996,6.416666666666667,Shooting Guard,Right,205.0
32,32,allento01,2907029.9285714286,allento01,1.3,47.5,28.2,70.9,820,14.2,0.048785726371581885,0.0569645153431225,0.4888552661846137,48.7,2004,6.333333333333333,Shooting Guard and Small Forward and Point Guard,Right,213.0
33,33,almonmo01,1043700.0,almonmo01,0.3,38.1,29.2,74.3,38,7.0,-0.9371072883670875,-0.9980216126983324,-0.7206845811208521,41.2,2007,6.5,Shooting Guard,Right,225.0
34,34,alstode01,250000.0,alstode01,0.7,48.9,14.3,48.7,139,11.7,-0.4835965015872995,0.19457140160939915,-0.6394235061080817,49.0,1994,6.916666666666667,Center,Right,225.0
35,35,alstora01,2344127.583333333,alstora01,4.8,38.3,35.4,72.9,671,13.2,0.4431429322670497,-0.26411821927818996,0.3075805603868952,46.1,1998,6.166666666666667,Point Guard,Right,171.0
36,36,aminual01,4430970.5,aminual01,1.2,42.3,33.7,74.7,670,12.4,-0.030085714807511574,1.2495575296508539,0.1356821324752657,48.2,2010,6.75,Power Forward and Small Forward,Right,220.0
37,37,anderde01,4212366.214285715,anderde01,3.4,40.8,34.1,85.3,615,15.3,0.8177822778677442,-0.08064237092315414,0.6513774162101542,46.3,1997,6.416666666666667,Shooting Guard and Small Forward and Point Guard,Right,194.0
38,38,andergr01,571625.0,andergr01,0.6,49.2,8.7,55.7,680,13.0,-0.1089571559866052,1.295426491739613,-0.13622992622131183,49.2,1987,6.833333333333333,Center and Power Forward,Right,230.0
39,39,anderja01,895769.3333333334,anderja01,1.2,41.1,32.1,75.5,247,9.9,-0.40472506040820605,-0.49346302972198447,-0.6175455243738744,48.8,2010,6.5,Small Forward and Shooting Guard,Right,213.0
40,40,anderju01,1514200.0,anderju01,0.7,41.9,30.2,77.8,216,12.9,-0.503314361882073,-0.35585614345570765,-0.5737895609054596,49.0,2015,6.5,Small Forward,Left,230.0
41,41,anderke01,4530371.428571428,anderke01,6.1,42.1,34.6,79.0,858,16.4,0.9360894396363845,-0.12651133301191309,1.232706645147665,44.9,1991,6.0,Point Guard,Left,168.0
42,42,anderky01,1395085.75,anderky01,1.9,49.2,32.4,70.6,300,13.5,-0.503314361882073,0.24044036369815808,-0.2393689829682895,51.4,2014,6.75,Small Forward,Right,230.0
43,43,anderni01,3271593.6923076925,anderni01,2.6,44.6,35.6,66.7,800,15.8,1.2910109249423056,0.7908679087632648,1.0076759758815317,50.0,1989,6.5,Shooting Guard and Small Forward,Right,205.0
44,44,anderri01,262500.0,anderri01,1.5,41.2,33.3,76.2,407,12.3,-0.44416078099775286,0.0569645153431225,-0.48315220800660047,44.6,1982,6.833333333333333,Center and Power Forward,Right,240.0
45,45,anderro01,470000.0,anderro01,1.4,47.1,28.7,81.4,664,14.3,0.5417322337409166,0.0569645153431225,0.035668501690317655,47.9,1984,6.583333333333333,Small Forward,Right,215.0
46,46,anderry01,7850978.0,anderry01,0.9,42.2,38.0,85.4,647,16.5,0.8966537190468378,0.8826058329407828,0.7388893431469838,52.3,2008,6.833333333333333,Power Forward,Right,240.0
47,47,andersh01,3813340.384615385,andersh01,1.4,45.7,31.6,73.9,719,11.7,-0.08923929569183171,-0.12651133301191309,0.01691594591813996,49.2,1996,6.5,Small Forward and Shooting Guard,Right,208.0
48,48,anderwi01,1351250.0,anderwi01,3.8,47.1,26.6,78.6,555,13.8,0.8572179984572909,0.19457140160939915,0.15130926228541383,47.9,1988,6.583333333333333,Shooting Guard and Small Forward,Right,190.0
49,49,anigbik01,950000.0,anigbik01,0.1,33.3,-,83.3,14,17.0,-1.3709002148521021,-1.135628498964609,-0.7206845811208521,33.3,2017,6.833333333333333,Center,Right,250.0
50,50,anslemi01,200000.0,anslemi01,0.4,51.3,-,72.2,149,17.0,-0.18782859716569866,0.37804724996443495,-0.5206573195509561,51.3,1989,6.583333333333333,Small Forward,Right,225.0
51,51,anthoca01,15466761.0,anthoca01,3.0,44.9,34.7,81.1,1064,20.3,3.183925513240551,1.4330333780058897,2.4359956405290712,48.2,2003,6.666666666666667,Small Forward and Power Forward,Right,240.0
52,52,anthogr01,1549354.1666666667,anthogr01,4.0,40.3,34.9,73.3,757,14.5,-0.1089571559866052,-0.67693887807702,0.40134333924778404,46.7,1991,6.0,Point Guard,Left,176.0
53,53,anunoog01,1645200.0,anunoog01,0.7,46.1,35.1,60.5,141,9.9,-0.2864178986395656,-0.3099871813669487,-0.5644132830193708,55.5,2017,6.666666666666667,Small Forward,Right,232.0
54,54,araujra01,2238960.0,araujra01,0.3,40.5,25.0,67.9,139,6.3,-0.9962608692514078,-0.26411821927818996,-0.7331862849689705,40.6,2004,6.916666666666667,Center,Right,280.0
55,55,archiro01,456568.5,archiro01,0.4,28.3,-,42.9,44,4.9,-1.311746633967782,-0.8145457643432967,-0.7206845811208521,28.3,2002,6.916666666666667,Center and Power Forward,Right,250.0
56,56,arenagi01,11726226.75,arenagi01,5.3,42.1,35.1,80.3,552,19.6,2.5332361235130287,0.24044036369815808,0.8826589374003466,48.2,2001,6.25,Point Guard,Right,191.0
57,57,arizatr01,5451466.428571428,arizatr01,2.2,42.2,35.1,72.8,1011,13.3,0.56145009403569,0.6532610224969883,1.1545709960969242,50.2,2004,6.666666666666667,Small Forward and Shooting Guard,Right,215.0
58,58,armstbj01,1489090.9090909092,armstbj01,3.3,47.7,42.5,85.6,747,14.5,0.3839893513827297,-0.7228078401657789,0.6857571017924802,51.3,1989,6.166666666666667,Point Guard,Right,175.0
59,59,armstbr01,930723.3333333334,armstbr01,0.2,35.2,33.3,60.0,108,4.9,-1.114568031020048,-1.2732353852308858,-0.7394371368930299,39.5,2001,6.416666666666667,Shooting Guard,Left,188.0
60,60,armsthi01,1898895.6,armsthi01,0.3,50.1,28.6,58.2,292,9.9,-0.956825148661861,-0.35585614345570765,-0.5987929686016967,50.2,2006,6.916666666666667,Center and Power Forward,Right,235.0
61,61,artesro01,4532582.705882353,artesro01,2.7,41.4,33.9,71.5,991,14.8,1.0543966014050248,0.5156541362307115,1.18895068167925,46.5,1999,6.5,Small Forward,Right,260.0
62,62,arthuda01,3322257.5,arthuda01,0.8,44.4,35.2,76.5,503,12.2,-0.2667000383447923,0.0569645153431225,-0.33625718779120795,47.0,2008,6.75,Small Forward and Power Forward,Right,235.0
63,63,askewvi01,976208.3333333334,askewvi01,2.2,47.9,30.0,75.4,467,12.6,-0.14839287657615202,-0.40172510554446655,-0.029965443512304447,49.4,1987,6.5,Shooting Guard,Right,210.0
64,64,augmost01,1877343.75,augmost01,1.6,46.9,15.2,72.8,1001,13.7,0.029067866076808564,-0.08064237092315414,0.6482519902481245,47.0,1991,6.666666666666667,Small Forward and Shooting Guard,Left,205.0
65,65,augusdj01,3563831.0,augusdj01,4.0,41.3,38.1,86.3,807,14.2,0.3839893513827297,-0.67693887807702,0.5888688969695617,49.7,2008,6.0,Point Guard,Right,183.0
66,66,augusja01,550087.0,augusja01,0.1,51.4,-,50.0,27,11.1,-1.2328751927886883,-0.9980216126983324,-0.7113083032347632,51.4,2006,6.833333333333333,Power Forward,Left,235.0
67,67,austiis01,2514074.0,austiis01,1.2,44.6,17.6,67.0,432,13.0,-0.04980357510228507,0.6073920604082295,-0.43314539261412643,44.8,1991,6.833333333333333,Center,Right,255.0
68,68,aventan01,682000.0,aventan01,0.8,40.3,0.0,68.6,352,8.8,-0.44416078099775286,0.5156541362307115,-0.7113083032347632,40.3,1991,6.75,Power Forward,Right,235.0
69,69,averywi01,1286200.0,averywi01,1.4,33.0,25.5,71.4,142,7.3,-1.015978729546181,-1.227366423142127,-0.7488134147791187,37.8,1999,6.166666666666667,Point Guard,Right,197.0
70,70,babbilu01,1512680.4285714286,babbilu01,0.6,40.8,40.2,74.7,381,10.1,-0.6019036633559399,-0.5393319918107432,-0.49565391185471896,53.2,2010,6.75,Small Forward and Power Forward,Left,225.0
